New Calidonia;1970;23392;22.35
New Calidonia;1965;17630;22.35
New Calidonia;1960;10979;22.35
Bahamas;2015;59306;15.28
Bahamas;2010;54736;15.17
Bahamas;2005;45595;13.85
Bahamas;2000;36454;12.24
Bahamas;1995;31654;11.30
Bahamas;1990;26855;10.48
Bahamas;1985;25429;10.48
Bahamas;1980;24078;10.48
Bahamas;1975;27217;10.48
Bahamas;1970;30916;10.48
Bahamas;1965;18754;10.48
Bahamas;1960;11331;10.48
Trinidad and Tobago;2015;49883;3.67
Trinidad and Tobago;2010;48226;3.63
Trinidad and Tobago;2005;44812;3.46
Trinidad and Tobago;2000;41753;3.29
Trinidad and Tobago;1995;45994;3.66
Trinidad and Tobago;1990;50666;4.15
Trinidad and Tobago;1985;55736;4.15
Trinidad and Tobago;1980;61514;4.15
Trinidad and Tobago;1975;61092;4.15
Trinidad and Tobago;1970;60495;4.15
Trinidad and Tobago;1965;70004;4.15
Trinidad and Tobago;1960;81018;4.15
Andorra;2015;42082;59.71
Andorra;2010;52053;61.66
Andorra;2005;50298;61.93
Andorra;2000;42146;64.44
Andorra;1995;40525;63.47
Andorra;1990;38904;71.37
Andorra;1985;32306;71.37
Andorra;1980;25792;71.37
Andorra;1975;18623;71.37
Andorra;1970;13446;71.37
Andorra;1965;6983;71.37
Andorra;1960;2497;71.37
Malta;2015;41442;9.90
Malta;2010;33084;8.03
Malta;2005;24560;6.18
Malta;2000;21521;5.56
Malta;1995;17740;4.76
Malta;1990;15077;4.24
Malta;1985;4919;4.24
Malta;1980;6313;4.24
Malta;1975;8104;4.24
Malta;1970;10401;4.24
Malta;1965;6320;4.24
Malta;1960;1712;4.24
Iceland;2015;41442;9.90
Iceland;2010;33084;8.03
Iceland;2005;24560;6.18
Iceland;2000;21521;5.56
Iceland;1995;17740;4.76
Iceland;1990;15077;4.24
Iceland;1985;4919;4.24
Iceland;1980;6313;4.24
Iceland;1975;8104;4.24
Iceland;1970;10401;4.24
Iceland;1965;6320;4.24
Iceland;1960;1712;4.24
Aruba;2015;36114;34.76
Aruba;2010;34327;33.79
Aruba;2005;32540;32.53
Aruba;2000;30104;33.13
Aruba;1995;22274;27.73
Aruba;1990;14444;23.24
Aruba;1985;9860;23.24
Aruba;1980;7063;23.24
Aruba;1975;7262;23.24
Aruba;1970;7466;23.24
Aruba;1965;7677;23.24
Aruba;1960;7893;23.24
Barbados;2015;34475;12.13
Barbados;2010;32825;11.74
Barbados;2005;30624;11.18
Barbados;2000;28424;10.53
Barbados;1995;26224;9.90
Barbados;1990;24024;9.23
Barbados;1985;19985;9.23
Barbados;1980;18671;9.23
Barbados;1975;15850;9.23
Barbados;1970;13420;9.23
Barbados;1965;11443;9.23
Barbados;1960;9760;9.23
French Polynesia;2015;30058;10.63
French Polynesia;2010;31640;11.80
French Polynesia;2005;32286;12.67
French Polynesia;2000;30329;12.78
French Polynesia;1995;28360;13.18
French Polynesia;1990;25830;13.02
French Polynesia;1985;23734;13.02
French Polynesia;1980;18015;13.02
French Polynesia;1975;12252;13.02
French Polynesia;1970;8194;13.02
French Polynesia;1965;5480;13.02
French Polynesia;1960;3665;13.02
Antigua and Barbuda;2015;28083;30.59
Antigua and Barbuda;2010;26412;30.28
Antigua and Barbuda;2005;24741;29.97
Antigua and Barbuda;2000;23071;29.71
Antigua and Barbuda;1995;17550;25.68
Antigua and Barbuda;1990;12029;19.43
Antigua and Barbuda;1985;10474;19.43
Antigua and Barbuda;1980;9120;19.43
Antigua and Barbuda;1975;7941;19.43
Antigua and Barbuda;1970;6914;19.43
Antigua and Barbuda;1965;5807;19.43
Antigua and Barbuda;1960;4868;19.43
Lechtenstein;2015;23493;62.60
Lechtenstein;2010;22342;61.59
Lechtenstein;2005;18898;54.22
Lechtenstein;2000;15483;46.52
Lechtenstein;1995;13311;43.17
Lechtenstein;1990;10906;37.94
Lechtenstein;1985;9888;37.94
Lechtenstein;1980;9302;37.94
Lechtenstein;1975;8076;37.94
Lechtenstein;1970;7012;37.94
Lechtenstein;1965;5328;37.94
Lechtenstein;1960;4070;37.94
Monaco;2015;23493;62.60
Monaco;2010;22342;61.59
Monaco;2005;18898;54.22
Monaco;2000;15483;46.52
Monaco;1995;13311;43.17
Monaco;1990;10906;37.94
Monaco;1985;9888;37.94
Monaco;1980;9302;37.94
Monaco;1975;8076;37.94
Monaco;1970;7012;37.94
Monaco;1965;5328;37.94
Monaco;1960;4070;37.94
Bermuda;2015;19126;30.85
Bermuda;2010;18884;29.53
Bermuda;2005;18276;28.06
Bermuda;2000;17668;27.59
Bermuda;1995;16676;26.60
Bermuda;1990;15683;25.74
Bermuda;1985;14917;25.74
Bermuda;1980;14189;25.74
Bermuda;1975;14335;25.74
Bermuda;1970;14258;25.74
Bermuda;1965;11083;25.74
Bermuda;1960;8749;25.74
Seychelles;2015;12791;13.26
Seychelles;2010;11420;12.27
Seychelles;2005;8997;10.14
Seychelles;2000;6574;8.10
Seychelles;1995;5148;6.71
Seychelles;1990;3721;5.27
Seychelles;1985;3438;5.27
Seychelles;1980;3176;5.27
Seychelles;1975;2934;5.27
Seychelles;1970;2506;5.27
Seychelles;1965;1455;5.27
Seychelles;1960;845;5.27
Gibraltar;2015;11065;34.35
Gibraltar;2010;10369;33.74
Gibraltar;2005;9211;31.67
Gibraltar;2000;8054;29.45
Gibraltar;1995;8381;30.72
Gibraltar;1990;8709;32.46
Gibraltar;1985;9404;32.46
Gibraltar;1980;9747;32.46
Gibraltar;1975;9436;32.46
Gibraltar;1970;9071;32.46
Gibraltar;1965;7681;32.46
Gibraltar;1960;6765;32.46
Greenland;2015;11065;34.35
Greenland;2010;10369;33.74
Greenland;2005;9211;31.67
Greenland;2000;8054;29.45
Greenland;1995;8381;30.72
Greenland;1990;8709;32.46
Greenland;1985;9404;32.46
Greenland;1980;9747;32.46
Greenland;1975;9436;32.46
Greenland;1970;9071;32.46
Greenland;1965;7681;32.46
Greenland;1960;6765;32.46
Palau;2015;5664;26.60
Palau;2010;5787;28.27
Palau;2005;6043;30.36
Palau;2000;6310;32.91
Palau;1995;4749;27.52
Palau;1990;2801;18.56
Palau;1985;1310;18.56
Palau;1980;581;18.56
Palau;1975;500;18.56
Palau;1970;430;18.56
Palau;1965;370;18.56
Palau;1960;318;18.56
Faroe Islands;2015;5517;11.45
Faroe Islands;2010;5096;10.49
Faroe Islands;2005;4583;9.48
Faroe Islands;2000;3593;7.73
Faroe Islands;1995;2900;6.58
Faroe Islands;1990;4285;8.92
Faroe Islands;1985;3029;8.92
Faroe Islands;1980;2628;8.92
Faroe Islands;1975;2280;8.92
Faroe Islands;1970;1978;8.92
Faroe Islands;1965;1716;8.92
Faroe Islands;1960;1489;8.92
San Marino;2015;4717;14.84
San Marino;2010;4399;14.33
San Marino;2005;4218;14.42
San Marino;2000;4045;14.75
San Marino;1995;3659;14.14
San Marino;1990;3310;13.77
San Marino;1985;8530;13.77
San Marino;1980;8320;13.77
San Marino;1975;8115;13.77
San Marino;1970;7914;13.77
San Marino;1965;7718;13.77
San Marino;1960;7527;13.77
